2,0,8.38861e+08
4,0,1.04858e+08
8,0,1.31072e+07
16,0,1.6384e+06
32,0,204800
64,0,25600
128,0,3200
256,0,400
512,0,0
2,0,0
4,0,0
8,0,0
16,0,0
32,0,0
64,0,0
128,0,0
256,0,0
512,0,0
2,0,0
4,0,0
8,0,0
16,0,0
32,0,0
64,0,0
128,0,0
256,0,0
512,0,0
2,0,0
4,0,0
8,0,0
16,0,0
32,0,0
64,0,0
128,0,0
256,0,0
512,0,0
2,0,0
4,0,0
8,0,0
16,0,0
32,0,0
64,0,0
128,0,0
256,0,0
512,0,0
2,0,0
256,0,0
512,0,0
256,0,0
512,0,0
256,0,0
512,0,0
256,0,0
512,0,0
256,0,0
512,0,0
256,0,0
512,0,0
256,0,0
512,0,0
256,0,0
512,0,0
